Date,Stock Price,Gold Price,GBI
2023-01-03,124.73999786376953,171.05999755859375,1.0
2023-01-04,127.37000274658203,172.6699981689453,1.0115631566205752
2023-01-05,126.94000244140625,170.52000427246094,1.0208593167957594
2023-01-06,130.02000427246094,173.7100067138672,1.0264270013070025
2023-01-09,129.47000122070312,174.10000610351562,1.0197955087457613
2023-01-10,132.99000549316406,174.74000549316406,1.0436848711438105
2023-01-11,132.88999938964844,174.6199951171875,1.0436167884842154
2023-01-12,136.7100067138672,176.63999938964844,1.0613386485195477
2023-01-13,136.97999572753906,178.75999450683594,1.050822939552779
2023-01-17,135.36000061035156,177.58999633789062,1.0452365278334603
2023-01-18,133.02000427246094,177.0800018310547,1.030125573344551
2023-01-19,136.14999389648438,179.88999938964844,1.0378947976716584
2023-01-20,139.3699951171875,179.2899932861328,1.0659969524173958
2023-01-23,143.27000427246094,179.6300048828125,1.0937526577951489
2023-01-24,143.13999938964844,180.27999877929688,1.08882026117549
2023-01-25,141.5,181.11000061035156,1.0714125693956464
2023-01-26,147.3000030517578,179.47000122070312,1.1255210435429475
2023-01-27,151.74000549316406,179.22000122070312,1.1610645058326778
2023-01-30,147.05999755859375,178.75999450683594,1.1281502682517444
2023-01-31,148.97000122070312,179.41000366210938,1.1386621784981281
2023-02-01,153.1199951171875,181.6699981689453,1.155823243892491
2023-02-02,188.77000427246094,177.89999389648438,1.4551232558479599
2023-02-03,186.52999877929688,173.4600067138672,1.4746605348772441
2023-02-06,186.05999755859375,173.82000732421875,1.4678983295300791
2023-02-07,191.6199951171875,173.97999572753906,1.5103730859956332
2023-02-08,183.42999267578125,174.41000366210938,1.4422537828426247
2023-02-09,177.9199981689453,173.02999877929688,1.410087588359965
2023-02-10,174.14999389648438,173.36000061035156,1.3775814717246155
2023-02-13,179.42999267578125,172.47999572753906,1.4265895416357894
2023-02-14,179.47999572753906,172.61000061035156,1.4259123340462405
2023-02-15,177.16000366210938,170.88999938964844,1.421646962888983
2023-02-16,172.44000244140625,170.75,1.384905172095152
2023-02-17,172.8800048828125,171.25999450683594,1.3843043053400979
2023-02-21,172.0800018310547,170.6199951171875,1.383066958131642
2023-02-22,171.1199951171875,169.66000366210938,1.383133232882236
2023-02-23,172.0399932861328,169.57000732421875,1.3913074390516382
2023-02-24,170.38999938964844,168.35000610351562,1.3879495937609054
2023-02-27,169.5399932861328,169.00999450683594,1.3756327391792782
2023-02-28,174.94000244140625,169.77999877929688,1.4130103121582405
2023-03-01,173.4199981689453,170.75999450683594,1.3926942237896538
2023-03-02,174.52999877929688,170.66000366210938,1.402429583040489
2023-03-03,185.25,172.49000549316406,1.4727770562000795
2023-03-06,184.89999389648438,171.6199951171875,1.4774464224855333
2023-03-07,184.50999450683594,168.6199951171875,1.500560647316326
2023-03-08,184.97000122070312,168.5399932861328,1.5050157898869998
2023-03-09,181.69000244140625,170.1999969482422,1.4639094422665193
2023-03-10,179.50999450683594,173.8699951171875,1.4158156902309746
2023-03-13,180.89999389648438,177.86000061035156,1.3947712665050718
2023-03-14,194.02000427246094,176.8300018310547,1.504642371480738
2023-03-15,197.75,178.2100067138672,1.5216933224189146
2023-03-16,204.92999267578125,178.57000732421875,1.5737644738110994
2023-03-17,195.61000061035156,183.77000427246094,1.4596850439258018
2023-03-20,197.80999755859375,183.83999633789062,1.4755399216864966
2023-03-21,202.16000366210938,180.3699951171875,1.5369993097876655
2023-03-22,199.80999755859375,183.44000244140625,1.4937086508013386
2023-03-23,204.27999877929688,185.74000549316406,1.508214534597893
2023-03-24,206.00999450683594,183.64999389648438,1.5382966756346876
2023-03-27,202.83999633789062,181.9499969482422,1.5287774588524798
2023-03-28,200.67999267578125,183.44000244140625,1.500212425630307
2023-03-29,205.35000610351562,182.52999877929688,1.542777151754813
2023-03-30,207.83999633789062,184.17999267578125,1.5474955325397521
2023-03-31,211.94000244140625,183.22000122070312,1.586290716193861
2023-04-03,213.07000732421875,184.5399932861328,1.5833413344952778
2023-04-04,214.72000122070312,187.97999572753906,1.5664033193904563
2023-04-05,211.47999572753906,187.8300018310547,1.5439991589774062
2023-04-06,216.10000610351562,186.49000549316406,1.5890660407068349
2023-04-10,214.75,185.11000061035156,1.590911493775989
2023-04-11,213.85000610351562,186.27999877929688,1.5742937445665766
2023-04-12,214.0,187.19000244140625,1.5677393262191688
2023-04-13,220.35000610351562,189.72000122070312,1.592731896009683
2023-04-14,221.49000549316406,186.36000061035156,1.6298369517665858
2023-04-17,218.86000061035156,185.52999877929688,1.617688818292776
2023-04-18,217.88999938964844,186.25,1.6042932102290655
2023-04-19,215.6999969482422,185.36000061035156,1.5957940665807175
2023-04-20,213.07000732421875,186.08999633789062,1.570153178502272
2023-04-21,212.88999938964844,184.25,1.5844936148110602
2023-04-24,212.7899932861328,184.80999755859375,1.578950331563898
2023-04-25,207.5500030517578,185.75,1.5322747707515374
2023-04-26,209.39999389648438,184.74000549316406,1.5543844455336686
2023-04-27,238.55999755859375,184.75,1.770744509285496
2023-04-28,240.32000732421875,184.8000030517578,1.7833257630983022
2023-05-01,243.17999267578125,183.97000122070312,1.8126900840105047
2023-05-02,239.24000549316406,187.52000427246094,1.749560353624504
2023-05-03,237.02999877929688,189.11000061035156,1.7188245475187607
2023-05-04,233.52000427246094,190.44000244140625,1.6815455682675258
2023-05-05,232.77999877929688,187.4600067138672,1.7028632092327478
2023-05-08,233.27000427246094,187.69000244140625,1.7043566778803618
2023-05-09,233.3699951171875,189.02000427246094,1.6930897390822879
2023-05-10,233.0800018310547,188.75,1.6934047816324036
