Date,Stock Price,Gold Price,GBI,Stock Symbol
2023-01-03,235.24002075195312,171.05999755859375,1.0,MSFT
2023-01-04,224.9498748779297,172.6699981689453,0.947340542862172,MSFT
2023-01-05,218.2828826904297,170.52000427246094,0.9308540617760016,MSFT
2023-01-06,220.85540771484375,173.7100067138672,0.9245288181532226,MSFT
2023-01-09,223.0057373046875,174.10000610351562,0.9314391807496559,MSFT
2023-01-10,224.70440673828125,174.74000549316406,0.9350966410879936,MSFT
2023-01-11,231.49905395507812,174.6199951171875,0.9640343334278246,MSFT
2023-01-12,234.1894073486328,176.63999938964844,0.9640852655873684,MSFT
2023-01-13,234.89634704589844,178.75999450683594,0.9555274829442251,MSFT
2023-01-17,235.99607849121094,177.58999633789062,0.9663257235662737,MSFT
2023-01-18,231.53831481933594,177.0800018310547,0.9508031300149854,MSFT
2023-01-19,227.72860717773438,179.88999938964844,0.9205509320900691,MSFT
2023-01-20,235.86842346191406,179.2899932861328,0.9566454400514217,MSFT
2023-01-23,238.18569946289062,179.6300048828125,0.9642153785328833,MSFT
2023-01-24,237.65545654296875,180.27999877929688,0.9586001576808567,MSFT
2023-01-25,236.25135803222656,181.11000061035156,0.9485694512146193,MSFT
2023-01-26,243.5074920654297,179.47000122070312,0.9866377191270029,MSFT
2023-01-27,243.66461181640625,179.22000122070312,0.9886515152345292,MSFT
2023-01-30,238.3133544921875,178.75999450683594,0.9694274203652029,MSFT
2023-01-31,243.3209228515625,179.41000366210938,0.9862114770829268,MSFT
2023-02-01,248.1714630126953,181.6699981689453,0.9933582009869072,MSFT
2023-02-02,259.8067626953125,177.89999389648438,1.0619688320077751,MSFT
2023-02-03,253.6699981689453,173.4600067138672,1.063425326784764,MSFT
2023-02-06,252.1186065673828,173.82000732421875,1.0547326417751883,MSFT
2023-02-07,262.7131652832031,173.97999572753906,1.0980440769934252,MSFT
2023-02-08,261.898193359375,174.41000366210938,1.0919389651893685,MSFT
2023-02-09,258.8445129394531,173.02999877929688,1.0878144183805667,MSFT
2023-02-10,258.3339538574219,173.36000061035156,1.0836021138954761,MSFT
2023-02-13,266.40509033203125,172.47999572753906,1.1231584751312895,MSFT
2023-02-14,267.23968505859375,172.61000061035156,1.1258285288655154,MSFT
2023-02-15,265.1036682128906,170.88999938964844,1.1280707573727375,MSFT
2023-02-16,258.04583740234375,170.75,1.0989385233205236,MSFT
2023-02-17,254.0198974609375,171.25999450683594,1.078571804728332,MSFT
2023-02-21,248.7143096923828,170.6199951171875,1.0600054549936426,MSFT
2023-02-22,247.57244873046875,169.66000366210938,1.0611092311091774,MSFT
2023-02-23,250.78140258789062,169.57000732421875,1.0754334499937408,MSFT
2023-02-24,245.3183135986328,168.35000610351562,1.0596296122462108,MSFT
2023-02-27,246.24359130859375,169.00999450683594,1.0594727750659048,MSFT
2023-02-28,245.51516723632812,169.77999877929688,1.0515478823220679,MSFT
2023-03-01,242.41448974609375,170.75999450683594,1.0323089567394395,MSFT
2023-03-02,247.1787109375,170.66000366210938,1.053213858030987,MSFT
2023-03-03,251.29327392578125,172.49000549316406,1.059385881888275,MSFT
2023-03-06,252.8485107421875,171.6199951171875,1.0713460363363139,MSFT
2023-03-07,250.17112731933594,168.6199951171875,1.0788606812097252,MSFT
2023-03-08,249.72816467285156,168.5399932861328,1.077461611015282,MSFT
2023-03-09,248.3697967529297,170.1999969482422,1.0611492865455285,MSFT
2023-03-10,244.69818115234375,173.8699951171875,1.023395143649564,MSFT
2023-03-13,249.94473266601562,177.86000061035156,1.0218871825116111,MSFT
2023-03-14,256.70721435546875,176.8300018310547,1.0556485974744465,MSFT
2023-03-15,261.2843933105469,178.2100067138672,1.0661507964923722,MSFT
2023-03-16,271.8759460449219,178.57000732421875,1.1071323006746112,MSFT
2023-03-17,275.05535888671875,183.77000427246094,1.0883854760947977,MSFT
2023-03-20,267.9680480957031,183.83999633789062,1.0599375123487025,MSFT
2023-03-21,269.49383544921875,180.3699951171875,1.0864801452693857,MSFT
2023-03-22,268.0271301269531,183.44000244140625,1.0624829295889595,MSFT
2023-03-23,273.31304931640625,185.74000549316406,1.0700206669231225,MSFT
2023-03-24,276.1775207519531,183.64999389648438,1.0935399681503408,MSFT
2023-03-27,272.0531005859375,181.9499969482422,1.0872736917359604,MSFT
2023-03-28,270.921142578125,183.44000244140625,1.0739550474522952,MSFT
2023-03-29,276.11846923828125,182.52999877929688,1.1000146233579353,MSFT
2023-03-30,279.6029968261719,184.17999267578125,1.1039175124840708,MSFT
2023-03-31,283.7864990234375,183.22000122070312,1.126305230768372,MSFT
2023-04-03,282.7332763671875,184.5399932861328,1.1140987267062759,MSFT
2023-04-04,282.68402099609375,187.97999572753906,1.0935203696305733,MSFT
2023-04-05,279.8884582519531,187.8300018310547,1.0835707660426734,MSFT
2023-04-06,287.0348205566406,186.49000549316406,1.119222095784698,MSFT
2023-04-10,284.85943603515625,185.11000061035156,1.1190203393323783,MSFT
2023-04-11,278.402099609375,186.27999877929688,1.0867847415150618,MSFT
2023-04-12,279.0517883300781,187.19000244140625,1.0840252857332322,MSFT
2023-04-13,285.3023986816406,189.72000122070312,1.0935271161346636,MSFT
2023-04-14,281.66033935546875,186.36000061035156,1.0990317714913211,MSFT
2023-04-17,284.27862548828125,185.52999877929688,1.1142106817670785,MSFT
2023-04-18,283.8553771972656,186.25,1.1082509103234595,MSFT
2023-04-19,283.93414306640625,185.36000061035156,1.1138811378737112,MSFT
2023-04-20,281.6307678222656,186.08999633789062,1.1005108390563132,MSFT
