Date,Stock Price,Gold Price,GBI
2023-01-03,380.82000732421875,171.05999755859375,1.0
2023-01-04,383.760009765625,172.6699981689453,0.9983240568860277
2023-01-05,379.3800048828125,170.52000427246094,0.9993734496824892
2023-01-06,388.0799865722656,173.7100067138672,1.0035178779330276
2023-01-09,387.8599853515625,174.10000610351562,1.000702292762476
2023-01-10,390.5799865722656,174.74000549316406,1.0040292047779553
2023-01-11,395.5199890136719,174.6199951171875,1.017426791879533
2023-01-12,396.9599914550781,176.63999938964844,1.0094536610913332
2023-01-13,398.5,178.75999450683594,1.00135183390032
2023-01-17,397.7699890136719,177.58999633789062,1.0061024799539708
2023-01-18,391.489990234375,177.0800018310547,0.9930699694532223
2023-01-19,388.6400146484375,179.88999938964844,0.9704411369209524
2023-01-20,395.8800048828125,179.2899932861328,0.9918276708428286
2023-01-23,400.6300048828125,179.6300048828125,1.0018282987257439
2023-01-24,400.20001220703125,180.27999877929688,0.9971448613849812
2023-01-25,400.3500061035156,181.11000061035156,0.9929471002831876
2023-01-26,404.75,179.47000122070312,1.0130332406710374
2023-01-27,405.67999267578125,179.22000122070312,1.0167772446503314
2023-01-30,400.5899963378906,178.75999450683594,1.0066035821206254
2023-01-31,406.4800109863281,179.41000366210938,1.0177034412114796
2023-02-01,410.79998779296875,181.6699981689453,1.015724468614782
2023-02-02,416.7799987792969,177.89999389648438,1.0523486307347736
2023-02-03,412.3500061035156,173.4600067138672,1.0678133616108045
2023-02-06,409.8299865722656,173.82000732421875,1.0590895243782343
2023-02-07,415.19000244140625,173.97999572753906,1.071954312970185
2023-02-08,410.6499938964844,174.41000366210938,1.0576187313526548
2023-02-09,407.0899963378906,173.02999877929688,1.056811985536654
2023-02-10,408.0400085449219,173.36000061035156,1.0572618283017874
2023-02-13,412.8299865722656,172.47999572753906,1.0751305612931323
2023-02-14,412.6400146484375,172.61000061035156,1.0738264338372798
2023-02-15,413.9800109863281,170.88999938964844,1.088156668697678
2023-02-16,408.2799987792969,170.75,1.074053950640168
2023-02-17,407.260009765625,171.25999450683594,1.0681802553128896
2023-02-21,399.0899963378906,170.6199951171875,1.0506779572953275
2023-02-22,398.5400085449219,169.66000366210938,1.0551668975875013
2023-02-23,400.6600036621094,169.57000732421875,1.0613427465197403
2023-02-24,396.3800048828125,168.35000610351562,1.0576142814389025
2023-02-27,397.7300109863281,169.00999450683594,1.0570722671083754
2023-02-28,396.260009765625,169.77999877929688,1.0483889243675428
2023-03-01,394.739990234375,170.75999450683594,1.0383737443871748
2023-03-02,397.80999755859375,170.66000366210938,1.0470625997744718
2023-03-03,404.19000244140625,172.49000549316406,1.0525684193338314
2023-03-06,404.4700012207031,171.6199951171875,1.0586371626585511
2023-03-07,398.2699890136719,168.6199951171875,1.0609556114340453
2023-03-08,398.9200134277344,168.5399932861328,1.0631916500527938
2023-03-09,391.55999755859375,170.1999969482422,1.0333976595372258
2023-03-10,385.9100036621094,173.8699951171875,0.9969883858266078
2023-03-13,385.3599853515625,177.86000061035156,0.9732334602427163
2023-03-14,391.7300109863281,176.8300018310547,0.9950836666139592
2023-03-15,389.2799987792969,178.2100067138672,0.9812026401571742
2023-03-16,396.1099853515625,178.57000732421875,0.9964051842316421
2023-03-17,389.989990234375,183.77000427246094,0.9532515920413169
2023-03-20,393.739990234375,183.83999633789062,0.9620512936942323
2023-03-21,398.9100036621094,180.3699951171875,0.9934347293903575
2023-03-22,392.1099853515625,183.44000244140625,0.9601576776605691
2023-03-23,393.1700134277344,185.74000549316406,0.9508316680051488
2023-03-24,395.75,183.64999389648438,0.9679628948867213
2023-03-27,396.489990234375,181.9499969482422,0.9788336239968966
2023-03-28,395.6000061035156,183.44000244140625,0.9687036732877351
2023-03-29,401.3500061035156,182.52999877929688,0.9876833382018797
2023-03-30,403.70001220703125,184.17999267578125,0.9845664112683105
2023-03-31,409.3900146484375,183.22000122070312,1.0036749115621701
2023-04-03,410.95001220703125,184.5399932861328,1.000292935528613
2023-04-04,408.6700134277344,187.97999572753906,0.9765395593646196
2023-04-05,407.6000061035156,187.8300018310547,0.9747605033482075
2023-04-06,409.19000244140625,186.49000549316406,0.9855942404886204
2023-04-10,409.6099853515625,185.11000061035156,0.9939610298864434
2023-04-11,409.7200012207031,186.27999877929688,0.9879833902018187
2023-04-12,408.04998779296875,187.19000244140625,0.979172986662641
2023-04-13,413.4700012207031,189.72000122070312,0.9789479269091461
2023-04-14,412.4599914550781,186.36000061035156,0.9941635352599572
2023-04-17,413.94000244140625,185.52999877929688,1.0021943744492487
2023-04-18,414.2099914550781,186.25,0.9989712593251567
2023-04-19,414.1400146484375,185.36000061035156,1.003598207026844
2023-04-20,411.8800048828125,186.08999633789062,0.994206015020039
2023-04-21,412.20001220703125,184.25,1.0049147209177685
2023-04-24,412.6300048828125,184.80999755859375,1.002914818333423
2023-04-25,406.0799865722656,185.75,0.9819999554077009
2023-04-26,404.3599853515625,184.74000549316406,0.9831865400763973
2023-04-27,412.4100036621094,184.75,1.0027056189022712
2023-04-28,415.92999267578125,184.8000030517578,1.0109902536064659
2023-05-01,415.510009765625,183.97000122070312,1.014526005257084
2023-05-02,410.8399963378906,187.52000427246094,0.9841330499687027
2023-05-03,408.0199890136719,189.11000061035156,0.9691603726053438
2023-05-04,405.1300048828125,190.44000244140625,0.9555753437294404
2023-05-05,412.6300048828125,187.4600067138672,0.9887372158829996
2023-05-08,412.739990234375,187.69000244140625,0.9877888373368386
2023-05-09,410.92999267578125,189.02000427246094,0.9765371647953937
